Order ID,Date,Region,Salesperson,Product,Category,Units Sold,Unit Price,Total Revenue,Discount (%),Net Revenue,Customer Segment,Channel
1026,2024-03-14,South,Bob Martinez,Reception Desk,Furniture,1,1299.00,1299.00,20,1039.20,B2B,Direct
1027,2024-03-17,East,Emma Chen,Coding Bootcamp Book,Books,28,34.99,979.72,0,979.72,B2C,Online
1028,2024-03-19,West,Frank Obi,Portable SSD,Electronics,14,89.99,1259.86,0,1259.86,B2C,Retail
1029,2024-03-21,North,Alice Johnson,Video Conferencing Kit,Electronics,3,449.99,1349.97,15,1147.47,B2B,Direct
1030,2024-03-24,South,Bob Martinez,Office Sofa,Furniture,2,799.00,1598.00,10,1438.20,B2B,Direct
1031,2024-04-01,East,Carol Singh,Marketing Book,Books,20,44.99,899.80,0,899.80,B2C,Online
1032,2024-04-03,West,David Lee,Drawing Tablet,Electronics,6,179.99,1079.94,10,971.95,B2B,Direct
1033,2024-04-06,North,Emma Chen,Bluetooth Speaker,Electronics,11,79.99,879.89,5,835.90,B2C,Online
1034,2024-04-08,South,Frank Obi,Whiteboard,Furniture,8,129.99,1039.92,0,1039.92,B2B,Direct
1035,2024-04-10,East,Carol Singh,UX Design Book,Books,17,39.99,679.83,0,679.83,B2C,Online
1036,2024-04-13,West,David Lee,NAS Storage,Electronics,3,399.99,1199.97,10,1079.97,B2B,Direct
1037,2024-04-15,North,Alice Johnson,Ring Light,Electronics,13,59.99,779.87,0,779.87,B2C,Online
1038,2024-04-18,South,Bob Martinez,Locker Cabinet,Furniture,6,349.00,2094.00,10,1884.60,B2B,Direct
1039,2024-04-20,East,Emma Chen,Statistics Book,Books,24,54.99,1319.76,0,1319.76,B2C,Online
1040,2024-04-22,West,Frank Obi,Power Bank,Electronics,30,44.99,1349.70,0,1349.70,B2C,Retail
1041,2024-05-02,North,Alice Johnson,Laptop Stand,Electronics,19,49.99,949.81,5,902.32,B2C,Online
1042,2024-05-05,South,Bob Martinez,Boardroom Table,Furniture,1,2499.00,2499.00,20,1999.20,B2B,Direct
1043,2024-05-07,East,Carol Singh,Cloud Computing Book,Books,21,59.99,1259.79,0,1259.79,B2C,Online
1044,2024-05-09,West,David Lee,4K Webcam,Electronics,7,149.99,1049.93,10,944.94,B2B,Direct
1045,2024-05-12,North,Emma Chen,Desk Organiser,Furniture,25,29.99,749.75,0,749.75,B2C,Online
1046,2024-05-14,South,Frank Obi,True Wireless Earbuds,Electronics,16,99.99,1599.84,5,1519.85,B2C,Retail
1047,2024-05-17,East,Carol Singh,Agile Book,Books,18,44.99,809.82,0,809.82,B2C,Online
1048,2024-05-20,West,David Lee,Server Rack,Electronics,1,1799.00,1799.00,15,1529.15,B2B,Direct
1049,2024-05-22,North,Alice Johnson,Streaming Mic,Electronics,10,89.99,899.90,5,854.91,B2C,Online
1050,2024-05-25,South,Bob Martinez,Ergonomic Chair,Furniture,4,599.00,2396.00,10,2156.40,B2B,Direct
